sentence1,sentence2,labels,binary,normalized,score
그 숙소는 간단하고 일반적인 한국 반기지가 있다.,숙소의 위치는 쉽게 찾아볼 수 있고 우리나라의 대표적인 지하 숙소다.,"{'label': 3.7, 'real-label': 3.714285714285714, 'binary-label': 1}",1,0.74,3.7
위반 방해를 거부한 이들은 최대 500만원의 과태료가 부과된다.,아산뿐만 아니라 시민들이 자발적으로 예방 노력을 했다.,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
회사가 보낸 이메일은 이번 메일이 아니라 또 다른 지메일 계정이다.,사람들이 왜 보통 네이버 메일을 사용하는지 말해줘,"{'label': 0.30000000000000004, 'real-label': 0.33333333333333304, 'binary-label': 0}",0,0.06000000000000001,0.30000000000000004
지역별 고용대응 등 지자체의 소상공인 지원사업 일자리 성공패키지인 청년 구직활동을 위한 긴급복지지원체계 지원과 비상고용안정지원이 겹치는 것은 불가능하다.,고용보험이 1차 고용안전망이라면 국가고용지원제도가 2차 일자리안정망이다.,"{'label': 0.6000000000000001, 'real-label': 0.5714285714285711, 'binary-label': 0}",0,0.12000000000000002,0.6000000000000001
호스트의 답변이 늦어질 것으로 예상되지만 개선됐다.,호스트에 대한 대응이 늦었지만 개선될 것으로 예상된다.,"{'label': 4.7, 'real-label': 4.714285714285714, 'binary-label': 1}",1,0.9400000000000001,4.7
우리는 새로운 일자리를 창출하려는 정부의 노력을 두 배로 늘릴 것이다,우리만큼 역사와 문화를 공유하는 이웃이 세상에 가깝지 않다.,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
지하철을 타면 30분 이내에 이동이 가능하다.,지하철을 타더라도 30분 안에 도착할 수 있다.,"{'label': 4.0, 'real-label': 4.0, 'binary-label': 1}",1,0.8,4.0
이 사례책은 12일부터 국립환경과학원 홈페이지에서 확인할 수 있다.,주말을 제외한 평일 오후 12시 30분부터는 문화회관 공식 페이스북과 유튜브가 현지 아티스트를 중심으로 한 서양음악과 한국 전통무용 등 공연을 실시간으로 즐길 수 있다.,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
환기기가 어떻게 작동하는지 설명해 주세요.,낮에 불을 켜면 큰일이다,"{'label': 0.1, 'real-label': 0.14285714285714202, 'binary-label': 0}",0,0.02,0.1
새로운 친구를 만나고 싶을 때 좋은 추천이다,새로운 친구를 만나고 싶을 때 추천한다,"{'label': 4.4, 'real-label': 4.428571428571429, 'binary-label': 1}",1,0.8800000000000001,4.4
7월에 얼마나 많은 약속을 했는지 말씀해 주시겠습니까 ,식사 후 몸무게가 떨어지지 않기 때문에 빠지지 마세요,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
2층 주방과 거실이 아주 좋고 난방이 잘 작동한다.,부엌은 좋고 화장실은 깨끗하다,"{'label': 0.7000000000000001, 'real-label': 0.7142857142857141, 'binary-label': 0}",0,0.14,0.7000000000000001
그 정원은 오후 4시쯤 너무 아름다웠다,완벽하게 가까웠던 그림과 같은 장소였다.,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
다만 소파 침대에는 얼룩과 먼지가 조금 있었다.,다만 관광지와는 거리가 조금 멀다.,"{'label': 1.0, 'real-label': 1.0, 'binary-label': 0}",0,0.2,1.0
늦지 마. 회사 상사를 강행해야 한다,임명 일정 변경은 당일이 아니라 사전에 이뤄진다.,"{'label': 1.3, 'real-label': 1.333333333333333, 'binary-label': 0}",0,0.26,1.3
신주에서 두 정거장 떨어진 히가시나카노역에서 바로 갈 수 있다.,신주쿠에서 두 정거장만 이가시나카노역으로 갈 수 있다.,"{'label': 3.8, 'real-label': 3.833333333333333, 'binary-label': 1}",1,0.76,3.8
시끄러운 런던 중심도시보다 훨씬 좋다.,런던의 시끄러운 도시보다 훨씬 좋다,"{'label': 4.1, 'real-label': 4.142857142857143, 'binary-label': 1}",1,0.82,4.1
시장에서 무엇을 사고 싶으세요 ,시장에서 뭔가를 사세요.,"{'label': 3.8, 'real-label': 3.833333333333333, 'binary-label': 1}",1,0.76,3.8
에어컨을 사용하지 말라고 경고했잖아,에어컨을 사용할 수 없다,"{'label': 3.7, 'real-label': 3.666666666666667, 'binary-label': 1}",1,0.74,3.7
여행 후에도 호스트와 체코가 고민하고 있다.,먼지가 없고 화장실은 미쳤다,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
욕실 압력이 강하고 따뜻한 물이 잘 나온다.,수압이 강하고 따뜻한 물이 아주 잘 나온다.,"{'label': 4.0, 'real-label': 4.0, 'binary-label': 1}",1,0.8,4.0
가능한 한 빨리 식사를 거르지 않도록 하세요,나는 오늘 몇 시에 예약했다,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
문 대통령은 555조8 000억원으로 책정된 내년도 예산에는 국가 위기를 극복하고 국가를 이끌겠다는 의지가 담겼다고 설명했다.,마침내 국민의 안전한 삶과 국가 평화에 대한 확고한 의지가 있다.,"{'label': 0.30000000000000004, 'real-label': 0.28571428571428503, 'binary-label': 0}",0,0.06000000000000001,0.30000000000000004
그 방에는 볼트가 310개 있다,욕실에는 수건과 샴푸가 여러 개 있었다,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
샤워기가 너무 약해서 수분을 섭취하지 못한다,샤워기가 너무 약해서 수분을 섭취하지 못한다,"{'label': 4.3, 'real-label': 4.2857142857142865, 'binary-label': 1}",1,0.86,4.3
그리고 나는 방에서 예쁘다 정말 예쁘다,무엇보다 방이 너무 아름다워서 집 전체가 너무나 아름답다.,"{'label': 2.7, 'real-label': 2.714285714285714, 'binary-label': 0}",0,0.54,2.7
유럽연합 등이 사용하는 녹색금융 개념과 분류 기준을 언급하면 우리나라의 상황에 맞는 한국의 녹색 금융분류 시스템을 제공한다.,여기에 입원 원인이 없는 폐렴 환자를 요양병원에서 격리했다.,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
영상이나 영상 또는 내일의 온도,내일의 기온은 영하 0이다,"{'label': 4.0, 'real-label': 4.0, 'binary-label': 1}",1,0.8,4.0
행사가 끝난 뒤 현대자동차 한국중앙발전 수소융합연대추진단 등 4개 기관이 제주녹색수소전력 사업을 위한 업무협약을 체결했다.,한편 부처와 환경공단은 15일 오전 서울 온실가스단지 대회의실에서 선정된 기업들과 스마트 생태계 구축 사업을 성공적으로 추진하기 위한 업무협약을 체결했다.,"{'label': 0.8, 'real-label': 0.833333333333333, 'binary-label': 0}",0,0.16,0.8
다만 흡연자가 많기 때문에 비흡연자들이 먹기 어려울 수 있다는 점을 참고해 주시기 바랍니다.,다만 체류일과 인원수에 비례해 시세 인상을 참고해 주시기 바랍니다.,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
아이들의 부츠 가격,언제예요 강원도의 샤워 하루,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
특히 유전자증폭검사 결과는 작업 과정에서 작은 차이로 영향을 받을 수 있어 코로나19 등 감염병 진단의 정확도에 기여할 것으로 기대된다.,방학 신청자의 업무가 바쁜 성격과 동시에 방학신청자 수를 고려해 막대한 업무 운영 차질이 결정된다.,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
우리 경제의 현재와 미래에 대한 한국과 외국인 투자자들의 평가는 주가의 객관적 지표로서 어느 때보다 긍정적이다.,재난지원의 자발적 기부 움직임이 확산되는 것은 다행이다.,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
나는 모든 곳을 청소하는 것이 좋다,포지션 청소도 모든 가격 호스트에게 좋다.,"{'label': 4.8, 'real-label': 4.833333333333333, 'binary-label': 1}",1,0.96,4.8
몬트루 일정이고 집에 갈 수 있는 자유가 있다.,특히 이 호텔에 묶이고 싶은 한국인들을 보세요.,"{'label': 0.2, 'real-label': 0.16666666666666602, 'binary-label': 0}",0,0.04,0.2
지난 2020년 1월 말 기준으로 고춧국밥 차봉지가 있었다.,123번 모두 이용할 수 있는 지하철역이 있다,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
5차 위원회는 국내외 지식재산 연구 경험이 많은 정상조 민간위원장 등 주요 분야에서 전문성이 높은 위원을 중심으로 했다.,유홍준 명지대 교수가 용산공원 조성추진위원회 최초의 민간공동위원장으로 임명돼 본격적으로 공원 건설을 추진했다.,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
숙소의 위치와 청소가 모두 만족스러웠다.,숙소 청소도 만족스러웠다.,"{'label': 5.0, 'real-label': 5.0, 'binary-label': 1}",1,1.0,5.0
그래도 나는 세탁기와 건조기를 사용했다,세탁기가 완전 건조기가 되는 것이 최선이었다.,"{'label': 2.8, 'real-label': 2.833333333333333, 'binary-label': 0}",0,0.5599999999999999,2.8
그 숙소는 오페라 라파엘 등 주요 관광지로 이동하기에는 역부족이었다,다음 날 아침 우리는 주요 관광지로 갈 수 있었다,"{'label': 0.7000000000000001, 'real-label': 0.7142857142857141, 'binary-label': 0}",0,0.14,0.7000000000000001
한낮에 내륙에 얼마나 많은 도입니까 ,지진일 때 건물 엘리베이터를 이용하지 마세요,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
다음 주 중에 비가 올 것이다,미세먼지가 많을 때는 운동하지 마세요,"{'label': 0.0, 'real-label': 0.0, 'binary-label': 0}",0,0.0,0.0
다음 회의에서 손님을 더 챙겨주시기 바랍니다,그렇지 않으면 다른 곳을 알아보시길 바랍니다.,"{'label': 0.5, 'real-label': 0.5, 'binary-label': 0}",0,0.1,0.5
에어컨을 짧게 사용하지 말고 한꺼번에 켜라,짧은 에어컨을 사용하지 말고 자주 꺼지세요,"{'label': 3.2, 'real-label': 3.166666666666667, 'binary-label': 1}",1,0.64,3.2
좋은 곳을 이용해 주셔서 감사합니다.,좋은 곳에 머물러 주셔서 감사합니다.,"{'label': 3.7, 'real-label': 3.714285714285714, 'binary-label': 1}",1,0.74,3.7
지난 7월 한국판 디지털 뉴딜의 일환으로 인공지능 데이터를 기반으로 한 스마트 제조의 미래를 위한 청사진을 제시한 스마트제조 20 의 후속 전략이다.,기획재정부가 기존에 운영하던 한국판 뉴딜 마이크로페이지를 관계부처 공동 판뉴딜 통합 홈페이지로 확대했다.,"{'label': 0.2, 'real-label': 0.2, 'binary-label': 0}",0,0.04,0.2
나머지 방은 조용했지만 바닥이 크게 울렸다.,불이익은 창문 쪽으로 침대머리가 있어 차가 지나가는 소리가 들린다는 점이다.,"{'label': 0.7000000000000001, 'real-label': 0.6666666666666661, 'binary-label': 0}",0,0.14,0.7000000000000001
여기에 샤워장에서 양쪽 팔꿈치를 들어올리기 힘든 좁은 공간이 있어 고문이었다.,저렴한 가격에 믿을 수 없는 공간이었다,"{'label': 0.2, 'real-label': 0.2, 'binary-label': 0}",0,0.04,0.2
